Species;Rindorf_precautionary_F;Cheung_vulnerabilty;
Selene dorsalis ;;47;
Selene setapinnis ;;47;
Semicossyphus pulcher ;;60;
Seriola dumerili ;;50;
Seriola lalandi ;;50;
Seriola quinqueradiata ;;52;
Seriolella brama ;;48;
Seriolella caerulea ;;47;
Seriolella porosa ;;47;
Seriolella punctata ;;47;
Seriolina nigrofasciata ;;49;
Serranus cabrilla  ;16.97;;
Serranus hepatus  ;20;;
Serranus scriba  ;20;;
Solea senegalensis ;0.46;45;
Solea solea ;1.38;45;
Somniosus microcephalus ;0.09;90;
Somniosus pacificus ;;90;
Sparisoma cretense ;;48;
Sparus auratus ;0.43;41;
Sphoeroides maculatus ;;23;
Sphyrna lewini ;;77;
Sphyrna zygaena ;;77;
Spicara maena ;;34;
Spondyliosoma cantharus ;8.48;63;
Spratelloides gracilis ;;45;
Sprattus fuegensis ;;46;
Sprattus sprattus balticus;;46;
Sprattus sprattus ;20;46;
Squalus acanthias ;0.31;62;
Squatina argentina ;;80;
Squatina squatina ;;80;
Stenotomus chrysops ;;60;
Stephanolepis cirrhifer ;;32;
Stereolepis gigas ;;65;
Stomias boa  ;20;;
Strangomera bentincki ;;51;
Stromateus fiatola ;;40;
Symbolophorus veranyi ;;10;
Symphodus bailloni  ;20;;
Symphodus melops  ;20;;
Symphodus roissali  ;20;;
Synagrops japonicus ;;27;
Synaphobranchus kaupi  ;0.35;;
Takifugu vermicularis ;;38;
Taurulus bubalis  ;20;;
Taurulus lilljeborgi  ;20;;
Tautoga onitis ;;54;
Tautogolabrus adspersus ;;48;
Tenualosa ilisha ;;48;
Tenualosa toli ;;48;
Tetrapturus albidus ;;45;
Tetrapturus angustirostris ;;46;
Tetrapturus audax ;;45;
Tetrapturus pfluegeri ;;46;
Thaleichthys pacificus ;;29;
Theragra chalcogramma ;;56;
Thunnus alalunga ;;62;
Thunnus albacares ;;60;
Thunnus atlanticus ;;60;
Thunnus maccoyii ;;63;
Thunnus obesus ;;60;
Thunnus orientalis ;;64;
Thunnus thynnus ;0.83;60;
Thunnus tonggol ;;63;
Thyrsites atun ;;61;
Thyrsitops lepidopoides ;;32;
Torpedo marmorata  ;0.34;;
Torpedo nobiliana  ;0.44;;
Totoaba macdonaldi ;;72;
Trachinotus blochii ;;54;
Trachinotus carolinus ;;54;
Trachinus draco ;1.07;40;
Trachipterus arcticus  ;0.54;;
Trachurus capensis ;;44;
Trachurus declivis ;;50;
Trachurus japonicus ;;44;
Trachurus lathami ;;46;
Trachurus mediterraneus ;20;46;
Trachurus murphyi ;;51;
Trachurus picturatus ;17.59;51;
Trachurus symmetricus ;;49;
Trachurus trachurus ;20;46;
Trachurus trecae ;;50;
Trachyrincus murrayi;1.64;;
Trachyrincus scabrus;3.24;;
Trichiurus lepturus ;;42;
Trigla lyra ;1.38;55;
Trigloporus lastoviza  ;7.24;;
Triglops murrayi  ;20;;
Trisopterus esmarkii ;18.27;33;
Trisopterus luscus ;11.28;33;
Trisopterus minutus ;20;33;
Taaningichthys minimus ;;10;
Umbrina canariensis ;1.72;41;
Umbrina canosai ;;24;
Umbrina cirrosa ;;24;
Uncisudis longirostra ;;10;
Uranoscopus scaber ;;32;
Urophycis brasiliensis ;;41;
Urophycis chuss ;;41;
Urophycis tenuis ;;41;
Xenodermichthys copei  ;20;;
Xiphias gladius ;0.85;64;
Zenopsis conchifer ;;50;
Zenopsis nebulosus ;;50;
Zeugopterus punctatus  ;3.49;;
Zeugopterus regius  ;20;;
Zeus faber ;3.01;47;
Zoarces americanus ;;31;
Zoarces viviparus ;4.19;31;
